Date,Predicted_Price
2022-05-09,20696.09
2022-05-10,20474.912
2022-05-11,20363.309
2022-05-12,20309.32
2022-05-13,20329.27
2022-05-14,20367.08
2022-05-15,20295.318
2022-05-16,20264.69
2022-05-17,20250.064
2022-05-18,20239.709
2022-05-19,20221.299
2022-05-20,20193.432
2022-05-21,20175.592
2022-05-22,20159.525
2022-05-23,20142.545
2022-05-24,20124.291
2022-05-25,20106.412
2022-05-26,20090.52
2022-05-27,20074.8
2022-05-28,20059.086
2022-05-29,20043.656
2022-05-30,20028.805
2022-05-31,20014.5
2022-06-01,20000.46
2022-06-02,19986.736
2022-06-03,19973.393
2022-06-04,19960.44
2022-06-05,19947.832
2022-06-06,19935.537
2022-06-07,19923.568
2022-06-08,19911.928
2022-06-09,19900.6
